batch,cluster,file,tier,status
0,home,flutter_app/lib/features/home/presentation/pages/home_page_part_01.dart,compact,done
0,home,flutter_app/lib/features/home/presentation/widgets/home_status_content.dart,compact,done
0,discovery,flutter_app/lib/features/discovery/presentation/pages/topic_hub_page.dart,compact,done
0,discovery,flutter_app/lib/features/discovery/presentation/pages/unified_search_page.dart,compact,done
0,news,flutter_app/lib/features/news/presentation/pages/news_page.dart,compact,done
0,notifications,flutter_app/lib/features/notifications/presentation/pages/notifications_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/advanced_charts_page_part_01.dart,flush,done
0,markets,flutter_app/lib/features/markets/presentation/pages/comparison_tool_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/derivatives_overview_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/market_calendar_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/market_correlations_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/market_depth_page.dart,flush,done
0,markets,flutter_app/lib/features/markets/presentation/pages/market_heatmap_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/market_list_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/market_movers_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/market_news_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/market_overview_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/market_screener_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/market_sectors_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/portfolio_tracker_page_part_01.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/social_sentiment_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/social_signals_page_part_01.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/token_info_page.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/token_unlocks_page_part_01.dart,compact,done
0,markets,flutter_app/lib/features/markets/presentation/pages/watchlist_page.dart,compact,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/prediction_advanced_chart_page_part_01.dart,flush,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/prediction_advanced_chart_page_part_02.dart,flush,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/prediction_data_integration_page.dart,standard,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/prediction_event_calendar_page.dart,standard,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/prediction_event_detail_page.dart,standard,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/prediction_market_maker_page.dart,standard,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/prediction_portfolio_analyzer_page.dart,standard,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/prediction_risk_calculator_page.dart,standard,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/prediction_social_page.dart,standard,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/prediction_tournaments_page.dart,standard,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/predictions_breaking_page.dart,compact,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/predictions_global_activity_page.dart,compact,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/predictions_home_page.dart,compact,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/predictions_leaderboard_page.dart,compact,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/predictions_portfolio_page.dart,standard,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/predictions_rewards_page.dart,compact,done
0,predictions,flutter_app/lib/features/predictions/presentation/pages/predictions_search_page.dart,compact,done
0,predictions,flutter_app/lib/features/predictions/presentation/widgets/prediction_order_receipt_page_sections.dart,standard,done
0,predictions,flutter_app/lib/features/predictions/presentation/widgets/prediction_tournaments_detail.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page.dart,form,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_guide_page.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_home_page_part_01.dart,compact,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_leaderboard_page.dart,compact,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_points_entry_detail_page.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_points_ledger_page.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_points_page_part_01.dart,standard,done
0,arena,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page_part_01.dart,standard,done
